filename,series,width,height,position_index,ref,metric,ts,center,rotation,scale,center.c,center.r,tr16,xfmsequence
B_141_FB40-SL_76-ST_NISL-SE_226_compressed.jp2,NISL,38792.0,49472.0,226,227.0,0.944777290069604,07-02-24(14:49),[-43136. -54208.],-2.1726474547020835,1.0,-43136.0,54208.0,[3116.35435719 1619.38021473],rot180->rot90->pad->int
B_141_FB40-SL_76-ST_HEOS-SE_227_compressed.jp2,HEOS,41296.0,49594.0,227,229.0,1.0315051068835044,07-02-24(14:49),[-42848. -54208.],-2.0758332094662264,1.0,-42848.0,54208.0,[3176.62126467 1535.59673543],rot180->rot90->pad->cog->int
B_141_FB40-SL_77-ST_NISL-SE_229_compressed.jp2,NISL,40177.0,49196.0,229,232.0,1.1678581001994457,07-02-24(14:48),[53024. 41856.],1.0640201442558863,1.0,53024.0,-41856.0,[1270.14267944 2239.1045164 ],rot90->pad->cog->int
B_141_FB40-SL_78-ST_NISL-SE_232_compressed.jp2,NISL,39156.0,48840.0,232,233.0,0.8799391493279954,07-02-24(14:48),[-43104. -54112.],-2.172963068806176,1.0,-43104.0,54112.0,[3107.32611021 1615.83596604],rot180->rot90->pad->int
B_141_FB40-SL_78-ST_HEOS-SE_233_compressed.jp2,HEOS,39572.0,49852.0,233,235.0,0.9951622502952134,07-02-24(14:48),[-43040. -54240.],-2.0782943472270228,1.0,-43040.0,54240.0,[3139.59221464 1515.4926352 ],rot180->rot90->pad->int
B_141_FB40-SL_79-ST_NISL-SE_235_compressed.jp2,NISL,40685.0,49652.0,235,236.0,1.0235159564119516,07-02-24(14:48),[-42912. -54208.],-2.175172983420836,1.0,-42912.0,54208.0,[3126.21797004 1645.76908854],rot180->rot90->pad->cog->sift
B_141_FB40-SL_79-ST_HEOS-SE_236_compressed.jp2,HEOS,40420.0,50007.0,236,238.0,1.1282697983340442,07-02-24(14:48),[-42944. -54272.],-2.011360437800948,1.0,-42944.0,54272.0,[3118.23195032 1446.28476118],rot180->rot90->pad->cog->int
B_141_FB40-SL_80-ST_NISL-SE_238_compressed.jp2,NISL,,,238,239.0,0.8310364248737753,07-02-24(14:48),[52960. 41728.],1.5707963267948966,1.0,52960.0,-41728.0,"[1380.0, 2784.0]",rot90->pad->int
B_141_FB40-SL_80-ST_HEOS-SE_239_compressed.jp2,HEOS,,,239,241.0,0.9772131611367544,07-02-24(14:48),[-42752. -54400.],-1.5707963267948966,1.0,-42752.0,54400.0,"[2656.0, 1200.0]",rot180->rot90->pad->int
B_141_FB40-SL_81-ST_NISL-SE_241_compressed.jp2,NISL,39312.0,49604.0,241,242.0,1.0154368024277165,07-02-24(14:48),[-43072. -54208.],-2.149616838859434,1.0,-43072.0,54208.0,[3111.11116143 1623.01187348],rot180->rot90->pad->cog->int
